"Code","Frame","Time (mins)","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","spp","Stage","Activity","count"
"EP_RS2_A1_18June2025",20713,5.7594,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_A1_18June2025",28631,7.961,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_A1_18June2025",36062,10.0272,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_A1_18June2025",1134,12.1104,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_A1_18June2025",20320,17.4452,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_A1_18June2025",40309,23.0033,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_A1_18June2025",10734,26.5749,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_A1_18June2025",22522,29.8526,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A1_18June2025",22522,29.8526,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Parupeneus.spilurus","AD","Feeding",1
"EP_RS2_A1_18June2025",22522,29.8526,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Parupeneus.spilurus","AD","Feeding",1
"EP_RS2_A1_18June2025",22661,29.8913,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Abudefduf.sexfasciatus","AD","Passing",1
"EP_RS2_A2_20Apr2026",14768,8.2126,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",14768,8.2126,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",15612,8.682,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",15612,8.682,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",15612,8.682,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",15612,8.682,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",15612,8.682,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",9089,16.8663,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_A2_20Apr2026",9783,17.2522,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Tetractenos.hamiltoni","AD","Passing",1
"EP_RS2_A2_20Apr2026",11205,18.043,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Tetractenos.hamiltoni","AD","Passing",1
"EP_RS2_A2_20Apr2026",11811,18.38,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Tetractenos.hamiltoni","AD","Passing",1
"EP_RS2_A2_20Apr2026",11811,18.38,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Tetractenos.hamiltoni","AD","Passing",1
"EP_RS2_A2_20Apr2026",12289,18.6458,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",12289,18.6458,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",12289,18.6458,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",12289,18.6458,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",12289,18.6458,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",12289,18.6458,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",12289,18.6458,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",14355,19.7948,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Tetractenos.hamiltoni","AD","Passing",1
"EP_RS2_A2_20Apr2026",15199,20.2641,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",17293,21.4286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",18615,22.1638,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Tetractenos.hamiltoni","AD","Passing",1
"EP_RS2_A2_20Apr2026",1987,24.7286,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",16216,32.6415,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Tetractenos.hamiltoni","AD","Passing",1
"EP_RS2_A2_20Apr2026",16883,33.0124,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A2_20Apr2026",18093,33.6853,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_A2_20Apr2026",18093,33.6853,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_A2_20Apr2026",18093,33.6853,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_A2_20Apr2026",18093,33.6853,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_A2_20Apr2026",18206,33.7482,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_A6_18June2025",17785,9.8904,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_A6_18June2025",20461,11.3786,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_A6_18June2025",1228,12.4947,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_A6_18June2025",5803,15.0389,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.rotundiceps","AD","Passing",1
