Point measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Tuesday 26 May 2026 15:49:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Comment,Sampling period,Date,Site,Treatment,Camera no.,,,,Family,Genus,Species,Code,Number,Stage,Activity,Comment
EP_RS2_A1_18June2025_GH015227.MP4,20713,5.7594,,,452.06,654.04,0,0,EP_RS2_A1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A1_18June2025_GH015227.MP4,28631,7.961,,,968.53,1523.61,0,0,EP_RS2_A1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A1_18June2025_GH015227.MP4,36062,10.0272,,,958.62,1635.1,0,0,EP_RS2_A1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A1_18June2025_GH025227.MP4,1134,12.1104,,,286.1,1044.23,0,0,EP_RS2_A1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A1_18June2025_GH025227.MP4,20320,17.4452,,,511.51,1012.03,0,0,EP_RS2_A1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A1_18June2025_GH025227.MP4,40309,23.0033,,,968.53,464.52,0,0,EP_RS2_A1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A1_18June2025_GH035227.MP4,10734,26.5749,,,535.05,1786.22,0,0,EP_RS2_A1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A1_18June2025_GH035227.MP4,22522,29.8526,,,69.36,973.63,0,0,EP_RS2_A1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A1,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A1_18June2025_GH035227.MP4,22522,29.8526,,,907.84,1415.85,0,0,EP_RS2_A1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A1,,,,Mullidae,Parupeneus,spilurus,37355015,4,AD,Feeding,
EP_RS2_A1_18June2025_GH035227.MP4,22522,29.8526,,,985.87,1770.12,0,0,EP_RS2_A1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A1,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Feeding,
EP_RS2_A1_18June2025_GH035227.MP4,22661,29.8913,,,286.1,1806.04,0,0,EP_RS2_A1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A1,,,,Pomacentridae,Abudefduf,sexfasciatus,37372011,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX018028.MP4,14768,8.2126,,,943.76,396.39,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX018028.MP4,14768,8.2126,,,1040.37,56.98,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX018028.MP4,15612,8.682,,,1061.42,402.58,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX018028.MP4,15612,8.682,,,977.2,257.65,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX018028.MP4,15612,8.682,,,1053.99,112.72,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX018028.MP4,15612,8.682,,,1050.28,219.25,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX018028.MP4,15612,8.682,,,1016.83,26.01,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,9089,16.8663,,,927.66,457.08,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,9783,17.2522,,,82.98,463.28,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Tetraodontidae,Tetractenos,hamiltoni,37467054,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,11205,18.043,,,587.06,272.52,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Tetraodontidae,Tetractenos,hamiltoni,37467054,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,11811,18.38,,,292.29,183.33,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Tetraodontidae,Tetractenos,hamiltoni,37467054,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,11811,18.38,,,341.83,608.21,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Tetraodontidae,Tetractenos,hamiltoni,37467054,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,12289,18.6458,,,1041.61,69.37,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,12289,18.6458,,,954.91,219.25,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,12289,18.6458,,,1037.89,384,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,12289,18.6458,,,911.56,397.63,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,12289,18.6458,,,828.58,437.26,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,12289,18.6458,,,873.17,520.26,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,12289,18.6458,,,946.24,655.28,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,14355,19.7948,,,725.78,151.12,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Tetraodontidae,Tetractenos,hamiltoni,37467054,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,15199,20.2641,,,1051.51,496.72,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,776.56,1901.42,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,361.65,1384.88,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
