"Filename","Frame","Time (mins)","OpCode","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","spp","Activity","count"
"EP_RS2_A1_18June2025_GH015227.MP4",20713,5.7594,"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A1_18June2025_GH015227.MP4",28631,7.961,"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A1_18June2025_GH015227.MP4",36062,10.0272,"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A1_18June2025_GH025227.MP4",1134,12.1104,"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A1_18June2025_GH025227.MP4",20320,17.4452,"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A1_18June2025_GH025227.MP4",40309,23.0033,"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A1_18June2025_GH035227.MP4",10734,26.5749,"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A1_18June2025_GH035227.MP4",22522,29.8526,"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Parupeneus.spilurus","Passing",1
"EP_RS2_A1_18June2025_GH035227.MP4",22522,29.8526,"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Parupeneus.spilurus","Feeding",1
"EP_RS2_A1_18June2025_GH035227.MP4",22522,29.8526,"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Parupeneus.spilurus","Feeding",1
"EP_RS2_A1_18June2025_GH035227.MP4",22661,29.8913,"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","Abudefduf.sexfasciatus","Passing",1
"EP_RS2_A2_20Apr2026_GX018028.MP4",14768,8.2126,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX018028.MP4",14768,8.2126,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX018028.MP4",15612,8.682,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX018028.MP4",15612,8.682,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX018028.MP4",15612,8.682,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX018028.MP4",15612,8.682,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX018028.MP4",15612,8.682,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
